# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon May 17 09:50:20 UTC 2021
#
At utterance begin, SIL accounts for 93.2% of phone occurrences, with duration (median, mean, 95-percentile) is (30,37.2,81) frames.
Overall, u_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,16) frames.
Overall, th_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, j^2_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.8,37) frames.
Overall, ch_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,18) frames.
Overall, w_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, c_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.4,11) frames.
Overall, s_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
Overall, uua_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,24) frames.
Overall, z^4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.8,29) frames.
Overall, vva_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,26) frames.
Overall, d_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, v_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,18) frames.
Overall, qq_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.2,35) frames.
Overall, j^4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.3,40) frames.
Overall, j_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
Overall, l_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, m_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,11) frames.
The optional-silence phone SIL occupies 26.3% of frames overall 
Limiting the stats to the 78.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 8.0% of frames.
Assuming 100 frames per second, the alignments represent 15.7 hours of data, or 11.5 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (19,23.6,64)
# Accounting: time=0 threads=1
# Ended (code 0) at Mon May 17 09:50:20 UTC 2021, elapsed time 0 seconds
